Name,Notes,Assignee,Status,AI assist
2-1700738447930,No impact,,3x3,Workshop feedback
3-1700738447930,Digital skills are not structured,,3x3,Workshop feedback
1-1700748825556,There is no programmer or developer,,3x3,Workshop agenda
0-1700748831590,OPEA largest segment from accountant perspective,,3x3,Workshop Note
2-1700748831590,questionnaire very basic - hence did not answer,,3x3,Feedback
3-1700748837833,Works closely with all parts in the value chain,,3x3,Operations Management
1-1700748843974,I know about the PACE program,,3x3,Workshop
2-1700748843974,Tool overview: Lessons learned,,3x3,Workshop agenda
3-1700748843974,I know DigiRES,,3x3,Workshop
1-1700748848020,Going from LTI to forward looking KPIs,,3x3,Business Strategy
3-1700748848020,Maybe future technologies e.g. Augmented Reality,,3x3,Technology
1-1700748861431,PPE work group with operations,,3x3,Meeting agenda
12-1700748861431,Last year the improvement plan was part of a green engine,,3x3,Workshop Note
13-1700748861431,1x a year collecting input for improvement plan,,3x3,Workshop agenda
15-1700748861431,Nearly everyone is an engineer and have IT skills,,3x3,Workshop
3-1700748861431,"Dev, Ops, Cons - main stakeholders",,3x3,Meeting agenda
7-1700748861431,Paperwork tools (COSMOS Digi Archive) are effective,,3x3,Workshop feedback
1-1700748877650,"wrist bands e.g. in warehousing, pos. tracking + vital tracking",,3x3,Inventory Management
10-1700748877650,How would collab look like with it/ot - how often/regularly/who with?,,3x3,Meeting agenda
9-1700748877650,"Marcel Bovens (Heading Asset Plan &amp; Safety &amp; Governance Team), central to HSE improvement initiatives, very experienced",,3x3,Feedback
0-1700754414304,"Dept.: Enabler on a high-level, setting the frame (architecture &amp; governance) and enabling others to fill the frame",,3x3,Workshop notes
1-1700754414304,"Next steps: Making financials/budget clear for dig. initiatives, PMO: setting the frame (proper project) for dig. initiatives, Strategy &amp; Architecture -&gt; how does it fit to future landscape; Governance -&gt; Workers Council",,3x3,Meeting agenda
10-1700754414304,"Innovation only possible on more detailled level, complexity is really high but scratching the surface does not change anything",,3x3,Workshop notes
11-1700754414304,Document-driven rather than data-driven,,3x3,Workshop feedback
12-1700754414304,IT/OT enabler giving the boundaries within wich business is the driver,,3x3,Business Operations
13-1700754414304,Understaffing,,3x3,Workplace issue
14-1700754414304,Unclear priorities; several things are highly prioritized at once,,3x3,Workshop Feedback
15-1700754414304,We do not,,3x3,Negative statement
16-1700754414304,Dept providing strategy &amp; governance: What is it based upon? ,,3x3,Workshop agenda
17-1700754414304,"Currently gut-feeling, would be good if it was based on data and empirical results (taken from data), need for quantification of things we do (costs, impact of strategic initiatives) - no data crunching but data collection missing)",,3x3,Feedback
18-1700754414304,MS Office Suite,,3x3,Software
19-1700754414304,AI-based tools should be more incorporated/included,,3x3,Technology
2-1700754414304,Markus Dobler,,3x3,Name
20-1700754414304,No particular tools given no particular tasks,,3x3,Workshop agenda
21-1700754414304,Challenge: Highly visible that dept. is document-driven not data-driven company,,3x3,Workshop Note
22-1700754414304,Mainly regulated/defined within Demand Mgmt Process,,3x3,Process documentation
23-1700754414304,PACE: special case due to broad nature of initiative; 3 dept heads in SteerCo,,3x3,Meeting notes
24-1700754414304,Collaboration within subprojects of PACE program; iIOT e.g.,,3x3,Project Management
25-1700754414304,Communication is inefficient; roadmap is missing (updated visual),,3x3,Operations Management
26-1700754414304,"Outdated documents, lengthy noone reads",,3x3,Documentation
27-1700754414304,Communication is not efficient: Dropping documents is not efficient,,3x3,Feedback
28-1700754414304,Tangible communcation; highly business-driven (coming from business; how to improve business; tech is an enabler (improvement strategy)),,3x3,Workshop notes
29-1700754414304,"A lot, dig. transformation was part of the dept. ",,3x3,Workshop notes
3-1700754414304,Dig. Roadmap from IT/OT perspective would need to include OPEA &amp; OFF,,3x3,Workshop Note
30-1700754414304,Improvement of processes (Demand Mgmt Process),,3x3,Operations Management
31-1700754414304,Less communication between dig. transformation &amp; Dept. ,,3x3,Workshop feedback
33-1700754414304,Shubham has the skills; dig. knowledge can be improved within dept. ,,3x3,Feedback
34-1700754414304,Reasoning to include someone like Shubham in dept. to improve knowledge; influential factor(,,3x3,Meeting agenda
36-1700754414304,No plan of upskilling on that matter,,3x3,Training and Development
37-1700754414304,Dept. should be involved in all dig. initiatives; governance is applied and well embedded in architecture,,3x3,Workshop notes
39-1700754414304,To be avoided: Delivering great business value but not aligned with architecture,,3x3,Workshop Note
4-1700754414304,Need to include more metrics (financial and performance),,3x3,Operations Management
41-1700754414304,"Given everything is a dig. initiative: IIOT project, PACE potentially (improving IT/OT but not digitalising/i",,3x3,Project Management
42-1700754414304,ITOT not in a suiting position (given hub position) to support business,,3x3,Operations Management
43-1700754414304,There is no current dig. roadmap,,3x3,Operations
44-1700754414304,"OFF is going into the direction, dig. initatives driven by business - nothing in OPEA",,3x3,Workshop notes
45-1700754414304,"Objectives are not perfectly aligned within dept., ",,3x3,Workplace issue
